emote_name,text_description_conditional,text_description_unconditional
hasRaid,an emote showing a man with a beard and a red umbrella,a close up of a man holding a red umbrella with a black background
hasRant,an emote showing off his beard and mustache in a photo,arafed man with a beard and a black shirt looking at a cell phone
hasRight,an emote showing a man's arm and arm muscles,a close up of a man flexing his muscles with a black background
hasSadge,an emote showing a sad face with a big smile,a cartoon image of a man with a big nose and a big nose
hasSammie,an emote showing a taco with a face and a pair of glasses,a cartoon image of a person holding a taco with hearts around them
hasSilly,an emote showing his tongue out and smiling for the camera,arafed man with a beard and a smile on his face
hasSlam,an emote showing a man holding a gun with a black background,arafed man with a gun in his hand and a backpack on his back
hasSleepy,an emote showing a dog with a collar on its head,a close up of a dog with a collar on its head
hasSmash,an emote showing a hand with a finger on it,a close up of a hand holding a small object with the word faith on it
hasSmol,an emote showing a woman with a pink shirt and yellow glasses,there is a woman with a pink shirt and yellow glasses
hasSpooked,an emote showing his teeth and glasses with a blurry background,a close up of a man with glasses and a beard
hasStop,an emote showing a man with a beard and a mustache,there is a man with a beard and a mustache looking at the camera
hasTruth,an emote showing a pyramid with a eye inside of it,an image of a pyramid with a eye inside of it
hasUnless,an emote showing a face with a star on it,a cartoon character with a red star on his head
hasUppy,an emote showing a dog wearing a crown on its head,puppy wearing a crown sitting on a stool with a white background
hasWeird,an emote showing a man with a mustache and a tie,a close up of a man in a suit and tie
hasWhat,an emote showing a man with a beard and a tie,a close up of a man with a beard and a tie
hasWicked,an emote showing a dog with a pair of goggles on,a close up of a dog wearing a pair of goggles
hasWut,an emote showing off his glasses and beard in a video,a close up of a man with glasses and a beard
hasZzz,an emote showing a man with his eyes closed and his eyes closed,arafed man with eyes closed and eyes closed with his eyes closed
hasModsHYPER,an emote showing a pair of glasses and a red scarf,a close up of a cartoon character wearing sunglasses and a red scarf
hasRarefish,an emote showing a dog with a big smile on his face,a close up of a dog with a big smile on its face
hasGods,an emote showing a sad face with glasses on,a close up of a cartoon duck with glasses on
hasGoldkap,an emote showing a golden face with a beard and a beard,there is a gold statue with a face on it
hasMoney,an emote showing a bunch of money in his hand,cartoon man holding a bunch of money in his hand
hasRich,an emote showing a man with a mustache and a top hat,arafed man with a mustache and a top hat with a dollar bill on it
2Yil,an emote showing a peace sign with a big mouth,a cartoon image of a man with a beard and glasses making a peace sign
3Head,an emote showing a face with a smile on it,a close up of a cartoon face with a mustache on it
AmericaMoment,an emote showing a man with a beard and glasses holding a microphone,arafed man with glasses and a beard sitting in front of a microphone
BebeLa,an emote showing a sad face with a computer keyboard in the background,a close up of a cartoon frog with a blue shirt
Believer,an emote showing a woman with a mohawk and a man with a beard,a close up of a person with a mohawk on a black background
BernSure,an emote showing a man with glasses and a microphone,arafed man with glasses and a microphone in front of him
bidenJAM,an emote showing a man with a bald head and a tie,a close up of a bald man in a suit and tie
BIGFISH,an emote showing a dog with a collar and a collar on,pixel dog with a collar and a collar on
blmCheer,an emote showing a sign that says blm,a close up of a cartoon frog holding a sign with the word blm
BYEDEN,an emote showing a letter of intent from a man,a letter from the president of the united states requesting to the president
CatTime,an emote showing a cat standing on its hind legs,a close up of a cat standing on its hind legs
CHYNA,an emote showing a man with a red light saber in his mouth,a close up of a person with a light saber in their mouth
dankHog,an emote showing a cell phone with a red hat on,a close up of a cartoon character holding a cell phone
DewTime,an emote showing a mountain dew logo and a box of mountain dew,a close up of a can of mountain dew on a black background
Doubter,an emote showing a picture of a dog with a shirt on,a close up of a dog with a shirt on and a text that reads doubt
DrakE,an emote showing a man with a white shirt and a blue shirt,arafed man sitting in a chair with his head turned to the side
fishStare,an emote showing a dog's face with a brown background,a close up of a dog's face with a brown background
freePalestine,an emote showing a boy holding a flag and a sticker,a cartoon boy holding a flag and a sticker
GAMBA,an emote showing a dog holding a yellow object in its mouth,cartoon dog with a yellow frisbee in its mouth
GIGAHAS,an emote showing a man with a beard and a beard,arafed man with a beard and a beardlock in a black and white photo
Hammies,an emote showing off his muscles in a funny pose,arafed man with a beard and a beardless expression on his face
hasAim,an emote showing a gun with a star on it,a cartoon image of a man holding a gun in his hand
hasanHyperSmash,an emote showing a man holding a knife and a knife in his hand,there is a man holding a red object in his hand
hasanSmash,an emote showing off his arm with a microphone in front of him,arafed man with a microphone and a backpack on his back
hasArrive,an emote showing a microphone with a black background,a close up of a microphone on a stand with a black background
hasBed,an emote showing a bed with a red cover and a white pillow,there is a bed with a red cover and a white pillow
hasBee,an emote showing a man with glasses and a bee costume,a close up of a man with glasses and a bee on his face
HASCEND,an emote showing a man with a beard and glasses,arafed man with a beard and glasses is screaming
hasCheck,an emote showing off his microphone and a hand gesture,arafed man with a microphone and a white shirt
hasCrabPls,an emote showing off his shirt and shorts while doing a squat,a man in a black shirt is squatting with a knife
hasCringe,an emote showing off his beard and glasses while talking on a cell phone,there is a man with glasses and a beard wearing a tie
hasCrush,an emote showing a man sitting on a chair with a watermelon,arafed man sitting on a chair with a watermelon in his lap
hasDespair,an emote showing a man with a beard and a tie,arafed man with a beard and a tie looking at the camera
hasDrip,an emote showing a picture of a frog with a man in a yellow hoodie,a cartoon frog in a yellow hoodie holding a picture of a man
hasDriving,an emote showing a steering wheel with a big smile on it,cartoon image of a man driving a car with a big smile
hasEVIL,an emote showing his face with glasses and a chain around his neck,a cartoon image of a man with glasses and a chain around his neck
hasFoe,an emote showing off his glasses and a beard,there is a man with glasses and a tie in a room
HASHACKERMANS,an emote showing a gun in front of a microphone,there is a man holding a gun and a microphone in his hands
hasHyperJAM,an emote showing a person holding up a pair of pink lights,someone holding up a pair of pink lights in their hands
HASINO,an emote showing a man with red eyes and a red and white chip,a close up of a red and white poker chip with a man's face
hasIRA,an emote showing a man wearing a hat with a flag on it,a close up of a man wearing a hat with a flag on it
hasIT,an emote showing a man sitting on a chair with a laptop,arafed man sitting on a chair with a laptop computer
hasJOKAR,an emote showing a man with a green face and a black eye,a close up of a man with a green face and a black eye
hasJump,an emote showing off his microphone and wearing a hoodie,arafed man in a black hoodie with a microphone
hasKAYAYA,an emote showing a mustache and a hat with a star on it,anime character with a mustache and a hat on
hasLocked,an emote showing a man with stars on his head,a close up of a person with glasses and a star on his head
hasNews,an emote showing the news logo with the words has has news news breaking,has news news breaking breaking news
hasPants,an emote showing a man with glasses and a blue and yellow shirt,a close up of a person wearing a pair of shorts with a face
haspeepoGoose,an emote showing a duck with a blue collar and a blue bandanna,a close up of a duck with a blue collar on its head
hasPls,an emote showing off his skateboard skills in a black and green photo,arafed man in black jacket doing a trick on a skateboard
hasRock,an emote showing off his cat's affection with a camera,there is a man holding a cat in his arms
hasScoot,an emote showing a man eating a donut with a black shirt,a cartoon image of a man with a donut in his mouth
hasSlash,an emote showing a knife and a banana on his head,a cartoon image of a man holding a knife in his hand
hasSoy,an emote showing a man with glasses and a tie,there is a man with glasses and a tie wearing a hat
hasStrike,an emote showing a sign that says strike,a cartoon image of a man holding a sign that says strike
hasTasty,an emote showing his tongue out while wearing glasses,there is a man with glasses and a beard making a funny face
hasWiggle,an emote showing a dog in a hoodie and a cat in a hoodie,a close up of a cartoon dog wearing a hoodie
hasWut1,an emote showing a close up of a person's eye with glasses,there is a close up of a person wearing glasses and a tie
hasWut2,an emote showing a man with glasses and a tie,a close up of a man with glasses and a tie
hasWut3,an emote showing a man with a beard and mustache,there is a man with a beard and a mustache brushing his teeth
hasWut4,an emote showing his tongue and a toothbrush in his mouth,there is a man with glasses and a beard holding a cell phone
Heepo,an emote showing a coffee cup with a mustache and sunglasses on it,cartoon image of a coffee cup with a mustache and sunglasses on it
HEKW,an emote showing a man with glasses and a beard smiling,there is a man with glasses and a tie smiling
himboJAM,an emote showing a man with a beard and a beardless shirt,arafed man in black shirt and shorts doing a trick on a skateboard
HOGGERS,an emote showing a thumbs up with a hat on,a close up of a cartoon character with a hat on
HOGIUM,an emote showing a person holding a tape and a sign,a close up of a person holding a sign with a tape around it
hyperHammer,an emote showing a man holding a knife and a knife in his hand,there is a man holding a red and yellow object in his hand
HYPERITALIANHANDS,an emote showing a hand holding a cell phone in the air,someone is holding a cell phone in their hand and making a gesture
HYPERPOGO,an emote showing a man with a surprised look on his face,there is a man with a red tie and a black shirt
HYPERS,an emote showing a very large sandwich with a rainbow in the background,a cartoon image of a person with a large sandwich in their hand
KatTime,an emote showing off his cat's belly and legs,a close up of a cat with a very large belly
kayaSleep,an emote showing a puppy sleeping on a table with its head on a plate,puppy sleeping on a table with its head on a plate
KAYAWEEN,an emote showing a dog wearing a pumpkin costume,arafed dog wearing a pumpkin costume with tongue sticking out
KEKSpin,an emote showing a bear in a space suit,a cartoon cat wearing a space suit with a heart on it
KEKWiggle,an emote showing a crying baby in a space suit,a cartoon image of a crying baby wearing a space suit
KKrikey,an emote showing a man with a mustache and mustache moustache,a close up of a man with a mustache and a hat
LETHIMCOOK,an emote showing a picture of a man and a woman in a cowboy outfit,toy story is a new animated animated movie starring woody and jessie
lUNC,an emote showing off his muscles and a man with glasses on,two men are talking into microphones while one is wearing glasses
Madgay,an emote showing a sad face with a rainbow colored background,a cartoon frog with a rainbow colored face and a sad expression
METH,an emote showing a man with a surprised look on his face,arafed man in a suit and tie with a surprised look on his face
monkaLIB,an emote showing a lit up lit up lit up lit up lit up lit up lit up,a close up of a cartoon character holding a lit up sign
MWORD,an emote showing the word men on a black background,a close up of a black and white sign with the words men
neffVibe,an emote showing off his white hair and white gloves,arafed man with long white hair and white gloves posing for a picture
NOORWAY,an emote showing a man wearing a viking helmet and glasses,a close up of a man wearing a viking helmet with horns
peepoHas,an emote showing a man with glasses and a blue shirt,a close up of a person with glasses and a blue shirt
peepoHi,an emote showing a frog with a crown on his head,a close up of a frog wearing a helmet on a scooter
PETTHEBOT,an emote showing a hand holding a blue robot,someone is holding a small robot in their hand
PETTHECHUD,an emote showing a big nose and a hat with a mustache,cartoon of a man with a hat and a mustache
PETTHEHASAN,an emote showing a hand holding a donut on top of it,a close up of a person with glasses and a hand on top of their head
PUNCHIES,an emote showing off his face with a white sheet,there is a man holding a white object in his hands
RUSHA,an emote showing a man with a red laser on his forehead,a close up of a person with a red light on their forehead
StopFighting,an emote showing a dog with a stuffed animal on his back,there is a man holding a dog that is wearing a hat
SWOONER,an emote showing a green frog with a toothbrush,a cartoon frog with a bottle of water in his hand
tayCussy,an emote showing a blue car with a red lip and a blue car with a red nose,a close up of a car with a red lip and a blue car
TOPWALZ,an emote showing a man in a suit and tie smiling,arafed image of a man in a suit and tie smiling
trumpKiss,an emote showing a man with a suit and tie,a close up of a man in a suit and tie with a microphone
TrumpSteel,an emote showing a man with blonde hair and a suit,blond haired man in a suit and tie with a red tie
TURKIES,an emote showing a thumbs up with a red hat,a close up of a cartoon frog wearing a red hat
WALZLUL,an emote showing off his bald hair and a white shirt,there is a man with a bald head and a tie
WHAAAT,an emote showing a computer screen with a banana on it,cartoon banana sitting at a computer with a computer monitor
widepeepoHas,an emote showing a man with glasses and a blue collar,a close up of a person wearing glasses and a blue neck scarf
WTFF,an emote showing a man with a tie and a suit,there is a man with a tie and a suit jacket
XINEMA,an emote showing off her hands and smiling while sitting in a chair,a close up of a person with their hands up in the air
3Head,an emote showing a man's face with a smile,a close up of a person with a face made of a man's head
AAAA,an emote showing his teeth in the water with his mouth open,there is a hippo with its mouth open and its mouth wide open
Aborto,an emote showing a pregnant sonic and a pregnant sonic,sonic the hedge and a pregnant woman
Ahmadmuhsin,an emote showing a ghost face with a black background,arafed ghost with a white robe and a black hat
AintNoWay,an emote showing a skull with a tooth in it's mouth,arafed image of a skeleton with a skull on it's face
AlienPls,an emote showing a man with a hat and a tie,a close up of a person in a suit with a black background
ALOO,an emote showing a cell phone with a bow on it,a cartoon frog with a pink bow holding a cell phone
AMERICA,an emote showing a man in a suit and tie holding a flag,arafed man in a suit and tie holding a flag
AngelKaya,an emote showing a dog with wings on its head,a close up of a dog with its tongue out and wings on it
ASSEMBLE,an emote showing a man with a beard and a mustache,there is a man that is standing in the dark with a cell phone
Aware,an emote showing a face with a big smile on it,a black and white picture of a face with a smile
Awkward,an emote showing a cat's face with a black background,there is a cat that is looking at the camera
AYAYA,an emote showing a green face with a black hair,cartoon of a girl with a green face and black hair
AYOOO,an emote showing a face in the middle of a black background,a close up of a yellow smiley face on a black background
BABBIES,an emote showing his peace sign with a beard and mustache,a close up of a cartoon frog with a beard and a mustache
BatChesting,an emote showing a man with sunglasses and a fake smile,arafed man with sunglasses making a funny face with his tongue
BBoomer,an emote showing a man with sunglasses and a mustache,a close up of a person wearing sunglasses and a hat
Bedgay,an emote showing a sad face in a wallet,cartoon of a frog with a rainbow background and a red wallet
Bedge,an emote showing a turtle with a blue hat on its head,a turtle with a blue hat and a pink pillow
bidenArrive,an emote showing a group of people crossing a street,there are many people walking across the street on the crosswalk
bidenHUH,an emote showing a close up of a man in a suit and tie,a close up of a man in a suit and tie
BigDog,an emote showing a man holding a tennis racket in his hand,arafed man in blue shirt and hat holding a tennis racket
BIGKAYA,an emote showing a dog with a collar and a collar around its neck,pixel dog with a pink collar and a black shirt
BINGBONG,an emote showing a man making a face with his hands,arafed image of a man in a suit and tie making a face
Blankies,an emote showing a devil like face with horns and horns,a close up of a cartoon character with horns and a hood
blobDance,an emote showing a yellow smiley face with a tennis racket,yellow and black drawing of a man holding a tennis racket
BoneZone,an emote showing a skeleton with a broken leg,a close up of a skeleton with a broken leg and a broken leg
booAzan,an emote showing a sad face with a blue shirt,a close up of a cartoon frog with a blue shirt
boolinJAM,an emote showing a sad face with a frown on his face,a green frog with a black hat and a black shirt
BOOMIES,an emote showing a sad frog with a boombox in the background,a close up of a cartoon frog with a boombox on its head
BRICK,an emote showing a frog holding a red heart in his hand,pixel art of a frog holding a red heart
Budd,an emote showing two smiling frogs with their heads above the water,two green frogs are sitting on top of a blue surface
BUGGIN,an emote showing a clown with a red nose and a green hat,a close up of a clown with a red nose and a green hat
Burpa,an emote showing a green frog sitting on a table,a cartoon frog sitting on a table with a piece of paper in its mouth
BUSSIN,an emote showing a very cute little dog with a big smile,there is a small dog that is looking up at the camera
BYEE,an emote showing off his dog's teeth while he is holding it,there is a man holding a dog with his mouth open
catDisco,an emote showing a cat's face with a blue sky in the background,there is a white cat that is flying in the sky
catJAM,an emote showing a black cat with a white outline,a close up of a black cat with a white outline on it
catKISS,an emote showing a cat with a very big nose,there is a cat that is sitting on the ground with its paws up
CAUGHT,an emote showing his hands up and smiling,a close up of a yellow fruit with two hands up
Cereal,an emote showing a face with a toothbrush in it,a cartoon drawing of a man eating a donut with a fork
CHAD,an emote showing a smile and a big smile on his face,a yellow smiley face with a black tie and a blue tie
ChairmanTrump,an emote showing a man with a beard and a woman with a tie,there are two men in suits and ties holding a flag
chatFight,an emote showing a couple of elephants with purple and white hats,pixel art of two elephants with purple and white hats on
chatPls,an emote showing a pixel skeleton with a purple headband,a pixel pixel art of a skeleton with a purple head
Chatting,an emote showing his computer keyboard and wearing a hat,a close up of a cartoon frog typing on a computer keyboard
CHILLSSS,an emote showing a cat wearing sunglasses and a snow covered face,a close up of a cat wearing sunglasses with icing on it
CHIRPING,an emote showing a man with glasses and a beard,arafed man with glasses and a beard in front of a city
Cinema,an emote showing his hands up in the air,arafed image of a man with his hands up in the air
Clap,an emote showing a bloody hand with blood dripping down it,a close up of a person holding a bloody hand with blood on it
Classic,an emote showing a yellow duck wearing a witch hat,a yellow duck wearing a witch hat smoking a cigarette
Clueless,an emote showing a face with a big smile on it,a black and white picture of a face with a smile
COCKA,an emote showing a green frog with a red nose,a close up of a cartoon frog with a bow tie
CoconutTree,an emote showing a woman holding a flag and a microphone,arafed woman in a suit and necklace speaking at a podium
COGGERS,an emote showing a very angry face with a big tooth,an orange cartoon character with a big mouth and big teeth
Comfi,an emote showing the eyes of a frog with a red scarf,a close up of a frog with a red scarf on
Concerned,an emote showing a face with red eyes and a smiley face,a close up of a cartoon face with red eyes and a black background
COOKED,an emote showing a smiley face with big eyes,a close up of a smiley face with a black background
Corpa,an emote showing a man in a suit and tie with a briefcase,cartoon image of a man in a suit with a briefcase and a camera
crabPls,an emote showing a crab with a black background,a close up of a crab on a black background
Crode,an emote showing a sad face with a green and blue frog,a close up of a cartoon frog with a blue body and green eyes
Crungo,an emote showing a sad face with a sad expression,a green frog with a sad face and a brown sticker
CrungoBonk,an emote showing a sad face with a baseball bat in his hand,a cartoon frog with a baseball bat in his hand
CrungoSmile,an emote showing a sad face with a big smile,a green frog with a sad face and a brown tongue
CrungoSmileGun,an emote showing a gun to someone with a green background,a close up of a person holding a gun in front of a computer
CUCKO,an emote showing a baby a diaper on his belly,there is a baby sitting on a chair with a person holding a remote
CumDance,an emote showing a chef hat and tie with a cigar,a cartoon character of a chef with a hat and tie
Cyring,an emote showing a crying face with a laptop in the background,a yellow emoticor crying with a laptop in the background
dankCrayon,an emote showing a sad face with a hat on,a cartoon frog with a hat on his head
DANKHACKERMANS,an emote showing a computer screen with a sad face,a cartoon frog sitting at a computer desk with a computer mouse
dankHug,an emote showing a sad face and a green face,cartoon image of a frog with a green hat and a green jacket
Danki,an emote showing a green face with a hat on,a cartoon frog with a green hat and a green shirt
DANKIES,an emote showing a very funny face with a hat on,a close up of a cartoon frog with a hat on
DankYawn,an emote showing a sad face with a hat on,a cartoon frog with a hat and glasses on
DANTIES,an emote showing off her new hair style in a hotel room,there is a woman sitting on a bed with a laptop
daphCheer,an emote showing off her new wii controller and headphones,woman in black jacket holding up a cell phone with both hands
daphHey,an emote showing off her new white shirt and headphones,arafed woman with headphones and a white shirt is playing a video game
Dawg,an emote showing a dog's face with a blurry background,there is a dog that is looking up at the camera
Dies,an emote showing a skeleton with a knife in its hand,a skeleton with a knife and a knife in its hand
DIESOFCRINGE,an emote showing a woman with long hair and a guitar,there is a woman that is playing a video game with a remote
DinkDonk,an emote showing a red and green monster with a bell,a close up of a cartoon of a person holding a bell
DinoFrogDisco,an emote showing a dinosaur and a frog in the dark,arafed t - rex and frog in the dark
dogKiss,an emote showing off his new leash in the dog house,there is a small white dog standing on a floor next to a cage
dogL,an emote showing a heart shaped object with a man in the background,there is a teddy bear with a heart on it's chest
dogScared,an emote showing off his apple and dog treat,puppy with a red apple in his mouth
DonkSass,an emote showing a thumbs up with a star in the background,a close up of a person's hand with a red lipstick and a star
DONOTCUM,an emote showing a woman with a necklace and a necklace,a close up of a woman with a necklace on her neck
DonoWall,an emote showing off his baseball glove to the camera,there is a man standing in front of a brick wall
DRAMA,an emote showing a woman with long hair and a necklace,arafed photo of a woman with long hair and a necklace
DripGod,an emote showing off his glasses and beard while holding a beer,there is a man with a beard and glasses holding a cell phone
DRUMMING,an emote showing a man holding a tennis racquet in a stadium,arafed image of a man in a green hoodie holding a tennis racquet
Eatt,an emote showing a frog with a toothbrush in its mouth,a green frog with a blue shirt and a red and white striped bag
Erming,an emote showing off his tongue and a cat's face,there is a cat that is sitting in a sink with its tongue out
Ermm,an emote showing a dog's face with a blurry background,there is a black and white dog sitting on a couch
Evilge,an emote showing his hand to his mouth while talking on a cell phone,a close up of a cartoon frog with a cell phone
EWWW,an emote showing a sad face with a frown,a yellow emotictor with a sad face and a frown
EZ,an emote showing a green frog with sunglasses and a cell phone,a cartoon frog with sunglasses and a tie drinking a drink
FADEDTHANAHO,an emote showing a thumbs up with a hand in the air,arafed man making a face with his hand while holding a cell phone
Fboi,an emote showing a sad face with a hat on,a yellow emotictor with a hat and a black hat
FECKINPRONOUNS,an emote showing off his headphones and a smile,there is a man with headphones on talking on a cell phone
FeelsRainMan,an emote showing a sad frog with an umbrella in the rain,a close up of a frog with an umbrella in the rain
FeelsWeakMan,an emote showing a sad face with a sad expression,a green frog with a sad face and eyes
Firewriting,an emote showing a person holding a knife in the dark,a close up of a person holding a light in their hand
FirstTimeChatter,an emote showing a man in a suit and tie standing in front of a purple background,arafed image of a man in a suit and tie standing in front of a purple background
Fishh,an emote showing a man with a cane and a dog,cartoon of a man with a cane and a dog in a room
fishPats,an emote showing a dog with a banana in the background,there is a dog that is looking at a banana that is flying
flatBoi,an emote showing the head of a lizard with a blue background,lizard with a blue tail and a white head
Flirt,an emote showing a smile and making a hand gesture,a yellow emotictor with eyes closed and a hand on his forehead
Flowerr,an emote showing a red rose in a green vase,cartoon frog holding a flower with a happy face
freeLebanon,an emote showing a hat with a flag on it,a green frog with a red and white hat on its head
Frenchge,an emote showing a sad face with a cigarette in his mouth,a close up of a cartoon frog with a cigarette in its mouth
Frfr,an emote showing a sad face with a green frog on it,a cartoon frog with a sad face and a blue shirt
Fricc,an emote showing a peace sign with a green face,cartoon image of a man with a green face and blue shirt
FROG,an emote showing a piggy with a pair of eyes,a close up of a piggy with a green background
gachiBASS,an emote showing a man with his eyes closed and his eyes closed,arafed man with his eyes closed and his eyes closed
gachiHYPER,an emote showing a man with a red shirt and tie,a close up of a man with a red tie and a red shirt
Gayge,an emote showing a very cute face with a big smile,a cartoon frog with a blue shirt and a pink nose
GECKW,an emote showing his tongue and eyes with a smile,smiling lizard with blue eyes and a white face
GIGAKAYA,an emote showing a dog with a sad look on its face,a black and white photo of a dog with a collar
GIGAWOMAN,an emote showing off her glasses and holding her hand up,there is a woman that is holding a cell phone in her hand
Glorp,an emote showing a cat with a green eyes and a green head,a close up of a cat with a green eyes and a green head
Glurp,an emote showing a green cat with a pink bow on its head,there is a green cat with a pink bow on its head
GRAB,an emote showing a smiley face with a black background,a close up of a yellow smiley face with a black background
GRRR,an emote showing his teeth and a big grin,a close up of a red ball with a face and arms
Grumpge,an emote showing his sad face with a red blanket,a cartoon frog with a red blanket and a red blanket
GuitarTime,an emote showing a guitar with a sword in its mouth,a close up of a pixel guitar with a black background
GULP,an emote showing a cat with a blurry look on its face,there is a cat that is looking at the camera
Guuhh,an emote showing a green cat with big eyes,a close up of a cat with big eyes on a green background
HACKERMANS,an emote showing a computer keyboard with a pumpkin in the background,a close up of a cartoon character wearing sunglasses and a keyboard
Happ,an emote showing a green frog with a blue shirt,a green frog with a blue shirt and a smile on its face
Haram,an emote showing a man with a white headband and a white shirt,a close up of a man with a white headband and a white shirt
hasADHD,an emote showing a man with glasses and a beard,a close up of a person with a face in a black background
HasanOffline,an emote showing a green hat on a laptop,a close up of a person on a laptop with a green hat
HasanWalk,an emote showing a pink shirt and brown pants,a cartoon image of a man in a pink shirt and brown pants
hasBork,an emote showing a dog with a sad look on its face,a close up of a dog with a surprised look on its face
hasCredit,an emote showing a credit card with a hand on it,a man holding a credit card in front of his face
hasDaycare,an emote showing a frog with a backpack and a backpack,a cartoon frog with a backpack and a backpack on his back
hasJAM,an emote showing a sad dog with a sad look,a close up of a brown and white dog with a sad look
hasLetsdoit,an emote showing a hand gesture with a green monkey on it,someone is holding a cell phone up to their face and a man is holding a cell phone up
hasLight,an emote showing off his new nail polish,arafed man holding a bottle of perfume in his hand
hasNUT,an emote showing off his new microphone and a new ring,arafed man with a beard and glasses holding a microphone
hasPit,an emote showing off his muscles in a tank top,a close up of a person with a furry animal on a cell phone
hasSlay,an emote showing a man wearing a pair of red sunglasses,a close up of a man wearing red sunglasses and a red shirt
hasStrip,an emote showing a man with glasses and a beard holding a pole,a close up of a person with glasses and a beard holding a pole
hassyBB,an emote showing a man holding a hair dryer in his hand,cartoon of a boy holding a hair dryer and combing his hair
HASTOOKTHEBAIT,an emote showing a question mark on a black background,there is a pixel image of a man with a hat and tie
HEHE,an emote showing a very cute cat with blue eyes,there is a cat that is looking at the camera
hesBALD,an emote showing a man with headphones on his head,arafed man wearing headphones and glasses in front of a wall
Heyge,an emote showing a thumbs up with a green frog on it,a cartoon frog with a blue shirt and a brown tie
Himbros,an emote showing off his new hat and beard,there are two men standing next to each other with a frisbee
HmmMeeting,an emote showing a group of frogs sitting at a table,cartoon of a table with a bunch of green frogs sitting on it
HOGO,an emote showing a tongue with a hat on it,a cartoon image of a man with a hat and tongue sticking out
Homi,an emote showing two different faces with a heart in the background,two cartoon characters with a heart in the background
HOPIUM,an emote showing a sign that says hopium,cartoon frog with a sign saying hopium
Howody,an emote showing a hat and a green face,a cartoon character with a cowboy hat waving
HUHH,an emote showing a cat with a surprised look on its face,there is a cat that is looking at the camera
HYPERCLAP,an emote showing a pair of hands with a red glow,a close up of a pair of red hands with a black background
