emote_name,text_description_conditional,text_description_unconditional
hasRaid,an emote showing a man with a beard and a red umbrella,a close up of a man holding a red umbrella with a black background
hasRant,an emote showing off his beard and mustache in a photo,arafed man with a beard and a black shirt looking at a cell phone
hasRight,an emote showing a man's arm and arm muscles,a close up of a man flexing his muscles with a black background
hasSadge,an emote showing a sad face with a big smile,a cartoon image of a man with a big nose and a big nose
hasSammie,an emote showing a taco with a face and a pair of glasses,a cartoon image of a person holding a taco with hearts around them
hasSilly,an emote showing his tongue out and smiling for the camera,arafed man with a beard and a smile on his face
hasSlam,an emote showing a man holding a gun with a black background,arafed man with a gun in his hand and a backpack on his back
hasSleepy,an emote showing a dog with a collar on its head,a close up of a dog with a collar on its head
hasSmash,an emote showing a hand with a finger on it,a close up of a hand holding a small object with the word faith on it
hasSmol,an emote showing a woman with a pink shirt and yellow glasses,there is a woman with a pink shirt and yellow glasses
hasSpooked,an emote showing his teeth and glasses with a blurry background,a close up of a man with glasses and a beard
hasStop,an emote showing a man with a beard and a mustache,there is a man with a beard and a mustache looking at the camera
hasTruth,an emote showing a pyramid with a eye inside of it,an image of a pyramid with a eye inside of it
hasUnless,an emote showing a face with a star on it,a cartoon character with a red star on his head
hasUppy,an emote showing a dog wearing a crown on its head,puppy wearing a crown sitting on a stool with a white background
hasWeird,an emote showing a man with a mustache and a tie,a close up of a man in a suit and tie
hasWhat,an emote showing a man with a beard and a tie,a close up of a man with a beard and a tie
hasWicked,an emote showing a dog with a pair of goggles on,a close up of a dog wearing a pair of goggles
hasWut,an emote showing off his glasses and beard in a video,a close up of a man with glasses and a beard
hasZzz,an emote showing a man with his eyes closed and his eyes closed,arafed man with eyes closed and eyes closed with his eyes closed
hasModsHYPER,an emote showing a pair of glasses and a red scarf,a close up of a cartoon character wearing sunglasses and a red scarf
hasRarefish,an emote showing a dog with a big smile on his face,a close up of a dog with a big smile on its face
hasGods,an emote showing a sad face with glasses on,a close up of a cartoon duck with glasses on
hasGoldkap,an emote showing a golden face with a beard and a beard,there is a gold statue with a face on it
hasMoney,an emote showing a bunch of money in his hand,cartoon man holding a bunch of money in his hand
hasRich,an emote showing a man with a mustache and a top hat,arafed man with a mustache and a top hat with a dollar bill on it
